rooms,area,floor,repaired,terrace,region,district,house_name,builder_name,builder_phone,building_starts,building_ends,installment_pay_month,prepayment_percent,finished_flat,price_per_area,total_price,flat_plan_image_url
2,73.44,8,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12500000,918000000,"https://service.app.uysot.uz/files/com-12/image/230616-151335-0d55cefc-ddde-4460.jpg, https://service.app.uysot.uz/files/com-12/image/230802-124336-b83f39c0-f08f-46f5.jpg, , "
2,73.44,7,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13000000,954720000,"https://service.app.uysot.uz/files/com-12/image/230616-151335-0d55cefc-ddde-4460.jpg, https://service.app.uysot.uz/files/com-12/image/230802-124336-b83f39c0-f08f-46f5.jpg, , "
2,73.44,3,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,1028160000,"https://service.app.uysot.uz/files/com-12/image/230802-124336-b83f39c0-f08f-46f5.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150506-293d8048-350d-4156.jpg, , "
2,73.76,9,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12500000,922000000,"https://service.app.uysot.uz/files/com-12/image/230802-122305-918bdfac-0c8f-4549.jpg, https://service.app.uysot.uz/files/com-12/image/230616-152215-fc586382-1859-4656.jpg, , "
2,73.76,5,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13500000,995760000,"https://service.app.uysot.uz/files/com-12/image/230616-150433-7951dcbf-6c88-42f2.jpg, https://service.app.uysot.uz/files/com-12/image/230802-122305-918bdfac-0c8f-4549.jpg, , "
2,73.76,3,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,1032640000,"https://service.app.uysot.uz/files/com-12/image/230616-150433-7951dcbf-6c88-42f2.jpg, https://service.app.uysot.uz/files/com-12/image/230802-122305-918bdfac-0c8f-4549.jpg, , "
2,76.56,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,22,50,No,12000000,918720000,"https://service.app.uysot.uz/files/com-12/image/221207-190528-18d4391f-3600-42fe.jpg, https://service.app.uysot.uz/files/com-12/image/221207-190523-b61f1fcc-b95e-4f85.jpg, , "
2,76.6,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,11000000,842600000,"https://service.app.uysot.uz/files/com-12/image/230616-164155-5d6e36cf-35b9-4b69.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164151-00f981d1-2ddb-4ab7.jpg, , "
2,76.6,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,12000000,919200000,not available
2,77.74,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,14000000,1088360000,not available
